"Source:","D:\PIFLAB\Thực tập\Kicad\Weather Station\19-6-2023_WeatherStation_QuocThang_V1\19-6-2023_WeatherStation_QuocThang_V1.kicad_sch"
"Date:","23/06/2023 3:17:48 PM"
"Tool:","Eeschema 7.0.5"
"Generator:","D:\Kicad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","97"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","DIGIKEY","ELEMENT14","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PACKAGE","PARTREV","PRICE","STANDARD"
"1","1","C1","47uF","Device:C_Polarized_Small","Capacitor_SMD:CP_Elec_6.3x7.7","~","","","","","","","","",""
"2","1","C2","10uF, 50V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","",""
"3","3","C3, C9, C21","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","",""
"4","4","C4, C5, C6, C15","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","",""
"5","1","C7","150pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","",""
"6","1","C8","C_Small","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","",""
"7","1","C10","22uF, 6.3V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","",""
"8","1","C11","47uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","",""
"9","3","C12, C13, C14","100nF, 16V","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","",""
"10","1","C16","22uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","",""
"11","2","C17, C18","12pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","",""
"12","2","C19, C20","10uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","",""
"13","1","C22","0.1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","",""
"14","1","D1","1N5822","Diode:1N5822","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88526/1n5820.pdf","","","","","","","","",""
"15","3","D2, D3, D4","LED","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","",""
"16","1","D5","SMF05C","SMF05C:SMF05C","SMF05C:SMF05C","","","","","","","","","",""
"17","1","D6","12V","Diode:1N47xxA","Diode SS34:Diode SS34","https://www.vishay.com/docs/85816/1n4728a.pdf","","","","","","","","",""
"18","1","F1","Fuse_Small","Device:Fuse_Small","Fuse:Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder","~","","","","","","","","",""
"19","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","","","","","","","","",""
"20","1","J1","DC-005-5A-2.0","DC-005-5A-2.0:DC-005-5A-2.0","DC-005-5A-2.0:DC-005-5A-2.0","","","","","XKB","11 mm","","A0","","Manufacturer Recommendations"
"21","1","J2","USB_B_Micro","Connector:USB_B_Micro","Connector_USB:USB_Micro-B_Wuerth_629105150521","~","","","","","","","","",""
"22","1","J3","BC501SM-TR","BC501SM-TR:BC501SM-TR","BC501SM:MPD_BC501SM-TR","","","","","MEMORI PROTECTION DEVICES","","","H","","Manufacturer Recommendations"
"23","1","J4","Conn_01x10_Pin","Connector:Conn_01x10_Pin","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~","","","","","","","","",""
"24","1","J5","Conn_01x05_Pin","Connector:Conn_01x05_Pin","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","","","","","","","","",""
"25","1","J6","Conn_01x03_Pin","Connector:Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","",""
"26","1","L1","22uH","Device:L_Small","Inductor_SMD:L_Bourns_SRP1038C_10.0x10.0mm","~","","","","","","","","",""
"27","2","Q1, Q2","MMBT2222A","MMBT2222A:MMBT2222A","MMBT2222A:MMBT2222A","","","568-4509-6-ND","1757934","","","","","",""
"28","2","Q3, Q4","PNP","MMBT2907A:MMBT2907A","MMBT2907A:TRANS_MMBT2907A","","","","","Taiwan Semiconductor","1.12mm","","C2001","","Manufacturer Recommendations"
"29","1","R1","24.9k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"30","3","R2, R4, R6","100k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"31","1","R3","40.2k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"32","1","R5","200k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"33","1","R7","10k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"34","2","R8, R36","1k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"35","6","R9, R10, R11, R14, R18, R19","10k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"36","7","R12, R13, R20, R22, R24, R38, R39","0","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"37","1","R15","1k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"38","2","R16, R17","22","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"39","10","R21, R23, R25, R26, R27, R28, R29, R30, R31, R32","4.7k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"40","2","R33, R34","0","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
"41","1","R35","2.2k","Device:R_US","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","","","","","",""
